date,tip_movi,tip_naci,sex_migr,nac_migr,via_tran,mot_viam,pais_prod,lug_prod,iso_pais_res,jef_migr,can_jefm,lat_can_jefm,lng_can_jefm,iso_nac_migr,lat_nac_migr,lng_nac_migr,iso_pais_prod,lat_pais_prod,lng_pais_prod,count
2018-01,1,1,1,Ecuador,3,6,Brasil,Sao Paulo,EC,Aeropuerto Internacional Mariscal Sucre,1701,-0.2186,-78.5097,EC,-1.831239,-78.183406,BR,-14.235004,-51.92528,1
2018-01,1,1,1,Ecuador,3,6,Estados Unidos,Miami Florida,EC,Aeropuerto Internacional Mariscal Sucre,1701,-0.2186,-78.5097,EC,-1.831239,-78.183406,US,37.09024,-95.712891,1
2018-01,1,1,1,Ecuador,3,6,Estados Unidos,New York New York,EC,Aeropuerto Internacional Mariscal Sucre,1701,-0.2186,-78.5097,EC,-1.831239,-78.183406,US,37.09024,-95.712891,1
2018-01,1,1,1,Ecuador,3,6,México,Veracruz,EC,Aeropuerto Internacional José Joaquín de Olmedo,901,-2.1833,-79.8833,EC,-1.831239,-78.183406,MX,23.634501,-102.552784,1
2018-01,1,1,1,Ecuador,3,4,Alemania,Berlín,DE,Aeropuerto Internacional José Joaquín de Olmedo,901,-2.1833,-79.8833,EC,-1.831239,-78.183406,DE,51.165691,10.451526,6
2018-01,1,1,1,Ecuador,3,4,Alemania,Bielefeld,DE,Aeropuerto Internacional José Joaquín de Olmedo,901,-2.1833,-79.8833,EC,-1.831239,-78.183406,DE,51.165691,10.451526,1
2018-01,1,1,1,Ecuador,3,4,Alemania,Frankfurt,DE,Aeropuerto Internacional José Joaquín de Olmedo,901,-2.1833,-79.8833,EC,-1.831239,-78.183406,DE,51.165691,10.451526,2
2018-01,1,1,1,Ecuador,3,4,Alemania,Frankfurt,DE,Aeropuerto Internacional Mariscal Sucre,1701,-0.2186,-78.5097,EC,-1.831239,-78.183406,DE,51.165691,10.451526,1
2018-01,1,1,1,Ecuador,3,4,Alemania,Hamburgo,DE,Aeropuerto Internacional José Joaquín de Olmedo,901,-2.1833,-79.8833,EC,-1.831239,-78.183406,DE,51.165691,10.451526,3
2018-01,1,1,1,Ecuador,3,4,Alemania,Hamburgo,ES,Aeropuerto Internacional José Joaquín de Olmedo,901,-2.1833,-79.8833,EC,-1.831239,-78.183406,DE,51.165691,10.451526,1
2018-01,1,1,1,Ecuador,3,4,Alemania,Múnich,DE,Aeropuerto Internacional José Joaquín de Olmedo,901,-2.1833,-79.8833,EC,-1.831239,-78.183406,DE,51.165691,10.451526,1
2018-01,1,1,1,Ecuador,3,4,Andorra,Andorra la Vella,AD,Aeropuerto Internacional José Joaquín de Olmedo,901,-2.1833,-79.8833,EC,-1.831239,-78.183406,AD,42.546245,1.601554,1
2018-01,1,1,1,Ecuador,3,4,Argentina,Buenos Aires,AR,Aeropuerto Internacional José Joaquín de Olmedo,901,-2.1833,-79.8833,EC,-1.831239,-78.183406,AR,-38.416097,-63.616672,42
2018-01,1,1,1,Ecuador,3,4,Argentina,Buenos Aires,AR,Aeropuerto Internacional Mariscal Sucre,1701,-0.2186,-78.5097,EC,-1.831239,-78.183406,AR,-38.416097,-63.616672,1
2018-01,1,1,1,Ecuador,3,4,Argentina,Buenos Aires,CL,Aeropuerto Internacional José Joaquín de Olmedo,901,-2.1833,-79.8833,EC,-1.831239,-78.183406,AR,-38.416097,-63.616672,1
2018-01,1,1,1,Ecuador,3,4,Argentina,Buenos Aires,EC,Aeropuerto Internacional José Joaquín de Olmedo,901,-2.1833,-79.8833,EC,-1.831239,-78.183406,AR,-38.416097,-63.616672,3
2018-01,1,1,1,Ecuador,3,4,Argentina,Buenos Aires,US,Aeropuerto Internacional José Joaquín de Olmedo,901,-2.1833,-79.8833,EC,-1.831239,-78.183406,AR,-38.416097,-63.616672,3
2018-01,1,1,1,Ecuador,3,4,Argentina,Córdoba,AR,Aeropuerto Internacional José Joaquín de Olmedo,901,-2.1833,-79.8833,EC,-1.831239,-78.183406,AR,-38.416097,-63.616672,1
2018-01,1,1,1,Ecuador,3,4,Australia,Brisbane,AU,Aeropuerto Internacional José Joaquín de Olmedo,901,-2.1833,-79.8833,EC,-1.831239,-78.183406,AU,-25.274398,133.775136,1
2018-01,1,1,1,Ecuador,3,4,Australia,Canberra,AU,Aeropuerto Internacional José Joaquín de Olmedo,901,-2.1833,-79.8833,EC,-1.831239,-78.183406,AU,-25.274398,133.775136,1
2018-01,1,1,1,Ecuador,3,4,Bolivia,La Paz,BO,Aeropuerto Internacional José Joaquín de Olmedo,901,-2.1833,-79.8833,EC,-1.831239,-78.183406,BO,-16.290154,-63.588653,1
2018-01,1,1,1,Ecuador,3,4,Bolivia,La Paz,BO,Aeropuerto Internacional Mariscal Sucre,1701,-0.2186,-78.5097,EC,-1.831239,-78.183406,BO,-16.290154,-63.588653,1
2018-01,1,1,1,Ecuador,3,4,Bolivia,La Paz,EC,Aeropuerto Internacional José Joaquín de Olmedo,901,-2.1833,-79.8833,EC,-1.831239,-78.183406,BO,-16.290154,-63.588653,1
2018-01,1,1,1,Ecuador,3,4,Bolivia,Santacruz,BO,Aeropuerto Internacional José Joaquín de Olmedo,901,-2.1833,-79.8833,EC,-1.831239,-78.183406,BO,-16.290154,-63.588653,2
2018-01,1,1,1,Ecuador,3,4,Brasil,Porto Alegre Río Grande Do Sul,BR,Aeropuerto Internacional José Joaquín de Olmedo,901,-2.1833,-79.8833,EC,-1.831239,-78.183406,BR,-14.235004,-51.92528,1
2018-01,1,1,1,Ecuador,3,4,Brasil,Porto Alegre Río Grande Do Sul,EC,Aeropuerto Internacional José Joaquín de Olmedo,901,-2.1833,-79.8833,EC,-1.831239,-78.183406,BR,-14.235004,-51.92528,1
2018-01,1,1,1,Ecuador,3,4,Brasil,Sao Paulo,BR,Aeropuerto Internacional José Joaquín de Olmedo,901,-2.1833,-79.8833,EC,-1.831239,-78.183406,BR,-14.235004,-51.92528,1
2018-01,1,1,1,Ecuador,3,4,Brasil,Sao Paulo,BR,Aeropuerto Internacional Mariscal Sucre,1701,-0.2186,-78.5097,EC,-1.831239,-78.183406,BR,-14.235004,-51.92528,1
2018-01,1,1,1,Ecuador,3,4,Brasil,Sao Paulo,US,Aeropuerto Internacional José Joaquín de Olmedo,901,-2.1833,-79.8833,EC,-1.831239,-78.183406,BR,-14.235004,-51.92528,1
